08:11:46.169 [XNIO-1 task-2]  MBjlzHl4Q6O-EmMDAPKNyQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/65b2e657
08:11:46.171 [XNIO-1 task-2]  b-F_aN9kQe-3VV9jNiqYZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/65b2e657, base path is set to: null
08:11:46.171 [XNIO-1 task-2]  b-F_aN9kQe-3VV9jNiqYZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:46.171 [XNIO-1 task-2]  b-F_aN9kQe-3VV9jNiqYZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
08:11:46.171 [XNIO-1 task-2]  b-F_aN9kQe-3VV9jNiqYZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/65b2e657, base path is set to: null
08:11:46.171 [XNIO-1 task-2]  b-F_aN9kQe-3VV9jNiqYZQ DEBUG com.networknt.schema.TypeValidator debug - validate( "65b2e657", "65b2e657", serviceId)
08:11:46.172 [hz._hzInstance_1_dev.partition-operation.thread-6]   DEBUG c.n.oauth.cache.ServiceMapStore delete - Delete:65b2e657
08:11:46.179 [XNIO-1 task-2]  9TbcZOUWTGumKojklXfqug DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.179 [XNIO-1 task-2]  9TbcZOUWTGumKojklXfqug DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.180 [XNIO-1 task-2]  9TbcZOUWTGumKojklXfqug DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.188 [XNIO-1 task-2]  cbfrCWZRROOpevMERj50iQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/39728dc7
08:11:46.188 [XNIO-1 task-2]  cbfrCWZRROOpevMERj50iQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.188 [XNIO-1 task-2]  cbfrCWZRROOpevMERj50iQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
08:11:46.188 [XNIO-1 task-2]  cbfrCWZRROOpevMERj50iQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/39728dc7
08:11:46.190 [XNIO-1 task-2]  f4sIhgO-ReC2b7xKDFy4kg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/39728dc7, base path is set to: null
08:11:46.191 [XNIO-1 task-2]  f4sIhgO-ReC2b7xKDFy4kg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
08:11:46.191 [XNIO-1 task-2]  f4sIhgO-ReC2b7xKDFy4kg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
08:11:46.191 [XNIO-1 task-2]  f4sIhgO-ReC2b7xKDFy4kg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/39728dc7, base path is set to: null
08:11:46.191 [XNIO-1 task-2]  f4sIhgO-ReC2b7xKDFy4kg DEBUG com.networknt.schema.TypeValidator debug - validate( "39728dc7", "39728dc7", serviceId)
08:11:46.193 [XNIO-1 task-2]  RcNDJI49Sx2Fah2Nkyprgw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.193 [XNIO-1 task-2]  RcNDJI49Sx2Fah2Nkyprgw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.193 [XNIO-1 task-2]  RcNDJI49Sx2Fah2Nkyprgw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.193 [XNIO-1 task-2]  RcNDJI49Sx2Fah2Nkyprgw DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
08:11:46.198 [XNIO-1 task-2]  S4eT__IPSaapb4SLa9rznw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.198 [XNIO-1 task-2]  S4eT__IPSaapb4SLa9rznw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.198 [XNIO-1 task-2]  S4eT__IPSaapb4SLa9rznw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
08:11:46.198 [XNIO-1 task-2]  S4eT__IPSaapb4SLa9rznw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"39728dc7","serviceName":"f5aea36e-0336-4dd4-995e-2792b3a2","serviceDesc":"4c30277d-c0c6-4bdb-aa40-5e484c66a55f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"39728dc7","serviceName":"f5aea36e-0336-4dd4-995e-2792b3a2","serviceDesc":"4c30277d-c0c6-4bdb-aa40-5e484c66a55f","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
