07:00:39.862 [XNIO-1 task-1]  IVjgpRcpS0uPIqi1rvEOyQ DEBUG com.networknt.schema.TypeValidator debug - validate( "b2d764de", "b2d764de", serviceId)
07:00:39.876 [XNIO-1 task-1]  zYR_0SldQE2NWCfdYwWltA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:39.876 [XNIO-1 task-1]  zYR_0SldQE2NWCfdYwWltA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:39.876 [XNIO-1 task-1]  zYR_0SldQE2NWCfdYwWltA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:39.877 [XNIO-1 task-1]  zYR_0SldQE2NWCfdYwWltA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
07:00:39.949 [XNIO-1 task-1]  3VGRLLA4RnizfIFljhoYYw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:39.949 [XNIO-1 task-1]  3VGRLLA4RnizfIFljhoYYw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:39.950 [XNIO-1 task-1]  3VGRLLA4RnizfIFljhoYYw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:39.984 [XNIO-1 task-1]  TK7-l-nSSP249gcM71_HZA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/5abf16c4
07:00:39.984 [XNIO-1 task-1]  TK7-l-nSSP249gcM71_HZA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:39.984 [XNIO-1 task-1]  TK7-l-nSSP249gcM71_HZA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
07:00:39.985 [XNIO-1 task-1]  TK7-l-nSSP249gcM71_HZA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/5abf16c4
07:00:39.991 [XNIO-1 task-1]  6pLo8P-xRTSMxQvDapdJSQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:39.991 [XNIO-1 task-1]  6pLo8P-xRTSMxQvDapdJSQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:39.992 [XNIO-1 task-1]  6pLo8P-xRTSMxQvDapdJSQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:40.013 [XNIO-1 task-1]  Zs1hTgjrTRuw-LDPNP0uoA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:40.013 [XNIO-1 task-1]  Zs1hTgjrTRuw-LDPNP0uoA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:40.014 [XNIO-1 task-1]  Zs1hTgjrTRuw-LDPNP0uoA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:40.050 [XNIO-1 task-1]  Mmogb8FNQa2LTBbWXHZtdg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:40.050 [XNIO-1 task-1]  Mmogb8FNQa2LTBbWXHZtdg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:40.051 [XNIO-1 task-1]  Mmogb8FNQa2LTBbWXHZtdg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:40.051 [XNIO-1 task-1]  Mmogb8FNQa2LTBbWXHZtdg DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
07:00:40.146 [XNIO-1 task-1]  O4vqdKToRLCAaxEF1E1sdg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/5abf16c4, base path is set to: null
07:00:40.147 [XNIO-1 task-1]  O4vqdKToRLCAaxEF1E1sdg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:40.147 [XNIO-1 task-1]  O4vqdKToRLCAaxEF1E1sdg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
07:00:40.147 [XNIO-1 task-1]  O4vqdKToRLCAaxEF1E1sdg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/5abf16c4, base path is set to: null
07:00:40.148 [XNIO-1 task-1]  O4vqdKToRLCAaxEF1E1sdg DEBUG com.networknt.schema.TypeValidator debug - validate( "5abf16c4", "5abf16c4", serviceId)
07:00:40.167 [XNIO-1 task-1]  MS8YmA1ES8uKSNwz4WJfjw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/513bed4a
07:00:40.167 [XNIO-1 task-1]  MS8YmA1ES8uKSNwz4WJfjw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
07:00:40.167 [XNIO-1 task-1]  MS8YmA1ES8uKSNwz4WJfjw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
07:00:40.167 [XNIO-1 task-1]  MS8YmA1ES8uKSNwz4WJfjw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/513bed4a
07:00:40.180 [XNIO-1 task-1]  q8-0xSy1Tl6dDd1JbSn8BQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:40.180 [XNIO-1 task-1]  q8-0xSy1Tl6dDd1JbSn8BQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:40.180 [XNIO-1 task-1]  q8-0xSy1Tl6dDd1JbSn8BQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
07:00:40.181 [XNIO-1 task-1]  q8-0xSy1Tl6dDd1JbSn8BQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
07:00:40.286 [XNIO-1 task-1]  pUkJZp8mREKIEiWrUF9BCQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/a94b50b1, base path is set to: null
07:00:40.287 [XNIO-1 task-1]  pUkJZp8mREKIEiWrUF9BCQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
07:00:40.287 [XNIO-1 task-1]  pUkJZp8mREKIEiWrUF9BCQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service/{serviceId}
07:00:40.288 [XNIO-1 task-1]  pUkJZp8mREKIEiWrUF9BCQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service/a94b50b1, base path is set to: null
07:00:40.289 [XNIO-1 task-1]  pUkJZp8mREKIEiWrUF9BCQ DEBUG com.networknt.schema.TypeValidator debug - validate( "a94b50b1", "a94b50b1", serviceId)
07:00:40.293 [XNIO-1 task-1]  t9mZYEtbRruayaP2Sm1W1A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/a94b50b1
07:00:40.293 [XNIO-1 task-1]  t9mZYEtbRruayaP2Sm1W1A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
