23:10:19.937 [XNIO-1 task-1]  v-CwHm1PQvmHEuXa-uXWTw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/9839f140-fbdf-42c1-a11f-3397c148ea80, base path is set to: null
23:10:19.938 [XNIO-1 task-1]  v-CwHm1PQvmHEuXa-uXWTw DEBUG com.networknt.schema.TypeValidator debug - validate( "9839f140-fbdf-42c1-a11f-3397c148ea80", "9839f140-fbdf-42c1-a11f-3397c148ea80", refreshToken)
23:10:19.943 [XNIO-1 task-1]  In62yu61SUCRPdOhqF_VcQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be, base path is set to: null
23:10:19.943 [XNIO-1 task-1]  In62yu61SUCRPdOhqF_VcQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token
23:10:19.943 [XNIO-1 task-1]  In62yu61SUCRPdOhqF_VcQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/refresh_token/{refreshToken}
23:10:19.943 [XNIO-1 task-1]  In62yu61SUCRPdOhqF_VcQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be, base path is set to: null
23:10:19.943 [XNIO-1 task-1]  In62yu61SUCRPdOhqF_VcQ DEBUG com.networknt.schema.TypeValidator debug - validate( "fe78823f-864e-4662-87e8-3054ef1e52be", "fe78823f-864e-4662-87e8-3054ef1e52be", refreshToken)
23:10:19.943 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.n.oauth.cache.RefreshTokenMapStore delete - Delete:fe78823f-864e-4662-87e8-3054ef1e52be
23:10:19.962 [XNIO-1 task-1]  IW7OMqpkQ1ikChzFHhG5bQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/fe78823f-864e-4662-87e8-3054ef1e52be
23:10:19.962 [XNIO-1 task-1]  IW7OMqpkQ1ikChzFHhG5bQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token
23:10:19.962 [XNIO-1 task-1]  IW7OMqpkQ1ikChzFHhG5bQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/refresh_token/{refreshToken}
