09:00:41.004 [hz._hzInstance_1_dev.partition-operation.thread-15]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:815aa1f2
09:00:41.009 [XNIO-1 task-2]  7NJLMDCBSQSCDm5BZUm9nw DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
09:00:41.010 [XNIO-1 task-2]  7NJLMDCBSQSCDm5BZUm9nw DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
09:00:41.013 [XNIO-1 task-2]  7NJLMDCBSQSCDm5BZUm9nw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=whjoJo1HTQCMMqq5wiCCeg
09:00:41.051 [hz._hzInstance_1_dev.partition-operation.thread-15]   DEBUG c.n.o.cache.ServiceEndpointMapStore delete - Delete:1ffaa6a3
09:00:41.110 [hz._hzInstance_1_dev.partition-operation.thread-15]   DEBUG c.n.o.cache.ServiceEndpointMapStore delete - Delete:1d41992b
09:00:41.129 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:d12a1961
09:00:41.133 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:d12a1961
09:00:41.156 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:d12a1961
09:00:41.175 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:3c728311-d041-4ec3-89ef-97e4bf8da249
09:00:41.178 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:3c728311-d041-4ec3-89ef-97e4bf8da249
09:00:41.198 [XNIO-1 task-2]  rFrPzCnySf6tCTOsg_e8bQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
