16:29:38.846 [hz._hzInstance_1_dev.partition-operation.thread-0]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:ff38b92a-ff20-4a28-98f1-e21d718f1a77
16:29:38.849 [XNIO-1 task-2]  2rjGLrPSTVW_79OXPz36Xw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/da3ef261
16:29:38.849 [XNIO-1 task-2]  2rjGLrPSTVW_79OXPz36Xw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:29:38.849 [XNIO-1 task-2]  2rjGLrPSTVW_79OXPz36Xw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/{serviceId}
16:29:38.849 [XNIO-1 task-2]  2rjGLrPSTVW_79OXPz36Xw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service/da3ef261
16:29:38.875 [XNIO-1 task-2]  hHVNKd_CQu6MX5rkf_4W1A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:38.875 [XNIO-1 task-2]  hHVNKd_CQu6MX5rkf_4W1A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:38.876 [XNIO-1 task-2]  hHVNKd_CQu6MX5rkf_4W1A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:38.876 [XNIO-1 task-2]  hHVNKd_CQu6MX5rkf_4W1A DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:29:38.907 [XNIO-1 task-2]  hER1umSbQcOfLPzVD8K_Aw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:38.908 [XNIO-1 task-2]  hER1umSbQcOfLPzVD8K_Aw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
16:29:38.908 [XNIO-1 task-2]  hER1umSbQcOfLPzVD8K_Aw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:38.940 [XNIO-1 task-2]  zd9GJYyrTmKRlBmrlWcndA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/service, base path is set to: null
16:29:38.940 [XNIO-1 task-2]  zd9GJYyrTmKRlBmrlWcndA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/service
