16:29:40.148 [hz._hzInstance_1_dev.partition-operation.thread-8]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:66c2c2bd
16:29:40.153 [XNIO-1 task-4]  f3ZRcnoES_G80IVuBDezBA INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
16:29:40.195 [hz._hzInstance_1_dev.partition-operation.thread-8]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:66c2c2bd
16:29:40.196 [XNIO-1 task-2]  lqjdlXLvSrqVQqgvkNyY7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.196 [XNIO-1 task-1]  sxn9TW9eQq6pn3-ZVwo2iw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.197 [XNIO-1 task-1]  sxn9TW9eQq6pn3-ZVwo2iw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.197 [XNIO-1 task-1]  sxn9TW9eQq6pn3-ZVwo2iw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.198 [XNIO-1 task-1]  sxn9TW9eQq6pn3-ZVwo2iw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = keNUio1dQP-rs6SyE15iUw redirectUri = http://localhost:8080/authorization
16:29:40.202 [XNIO-1 task-4]  kBWDF1y3Q2WaOBLYC9q6qw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.202 [XNIO-1 task-4]  kBWDF1y3Q2WaOBLYC9q6qw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.206 [XNIO-1 task-2]  lqjdlXLvSrqVQqgvkNyY7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.206 [XNIO-1 task-4]  kBWDF1y3Q2WaOBLYC9q6qw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
16:29:40.207 [XNIO-1 task-2]  lqjdlXLvSrqVQqgvkNyY7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
