16:29:38.905 [XNIO-1 task-1]  AQcXXv_TSwqJxfy_HIoukA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
16:29:38.933 [XNIO-1 task-1]  7YpbpMxfSD6GZb1WwrBIQg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:29:38.933 [XNIO-1 task-1]  7YpbpMxfSD6GZb1WwrBIQg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:29:38.936 [XNIO-1 task-1]  7YpbpMxfSD6GZb1WwrBIQg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:29:38.937 [XNIO-1 task-1]  7YpbpMxfSD6GZb1WwrBIQg DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
16:29:38.946 [XNIO-1 task-1]  niVQYNzBSvKoTh2-KTtrng DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:29:38.947 [XNIO-1 task-1]  niVQYNzBSvKoTh2-KTtrng DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:29:38.947 [XNIO-1 task-1]  niVQYNzBSvKoTh2-KTtrng DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:29:38.949 [hz._hzInstance_1_dev.partition-operation.thread-15]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:29098e38
16:29:38.961 [XNIO-1 task-1]  QHQDeUfNS7eWQiGICSFuWA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/f4446d34, base path is set to: null
16:29:38.961 [XNIO-1 task-1]  QHQDeUfNS7eWQiGICSFuWA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:29:38.961 [XNIO-1 task-1]  QHQDeUfNS7eWQiGICSFuWA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
16:29:38.961 [XNIO-1 task-1]  QHQDeUfNS7eWQiGICSFuWA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/f4446d34, base path is set to: null
16:29:38.962 [XNIO-1 task-1]  QHQDeUfNS7eWQiGICSFuWA DEBUG com.networknt.schema.TypeValidator debug - validate( "f4446d34", "f4446d34", userId)
16:29:38.969 [XNIO-1 task-1]  BeiG5J3XTRKmtWy89YDnjw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:29:38.970 [XNIO-1 task-1]  BeiG5J3XTRKmtWy89YDnjw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:29:38.970 [XNIO-1 task-1]  BeiG5J3XTRKmtWy89YDnjw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:29:38.971 [XNIO-1 task-1]  BeiG5J3XTRKmtWy89YDnjw DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
16:29:38.981 [XNIO-1 task-1]  Gb9I2aPERmaBp_erx9seQA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
