18:00:40.287 [XNIO-1 task-1]  FwR53MnwQwqZbvSUx3HKCA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
18:00:40.288 [XNIO-1 task-2]  PBlxMQYiSDOguBGDN_X4zg DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
18:00:40.293 [XNIO-1 task-2]  PBlxMQYiSDOguBGDN_X4zg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=rU_PEVuqTsuL6M9pxNVmAg
18:00:40.300 [XNIO-1 task-2]  6ufHDUGARM-LDgQkKx6uaQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:40.301 [XNIO-1 task-2]  6ufHDUGARM-LDgQkKx6uaQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:40.301 [XNIO-1 task-2]  6ufHDUGARM-LDgQkKx6uaQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:40.303 [XNIO-1 task-1]  L0dAPf86SRa9kUPctu4K3A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:40.303 [XNIO-1 task-1]  L0dAPf86SRa9kUPctu4K3A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
18:00:40.303 [XNIO-1 task-1]  L0dAPf86SRa9kUPctu4K3A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
18:00:40.304 [XNIO-1 task-1]  L0dAPf86SRa9kUPctu4K3A DEBUG com.networknt.schema.TypeValidator debug - validate( "93918b0a-406f-4732-9071-3123fc8c8218", "93918b0a-406f-4732-9071-3123fc8c8218", client_id)
18:00:40.305 [XNIO-1 task-2]  6ufHDUGARM-LDgQkKx6uaQ DEBUG com.networknt.schema.TypeValidator debug - validate( "06ce6bc9-9d53-486a-a50e-960a4d168f0d", "06ce6bc9-9d53-486a-a50e-960a4d168f0d", client_id)
18:00:40.305 [XNIO-1 task-1]  L0dAPf86SRa9kUPctu4K3A DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
