18:00:41.677 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:9ef17309
18:00:41.819 [hz._hzInstance_1_dev.partition-operation.thread-0]   DEBUG c.n.oauth.cache.ClientMapStore delete - Delete:ab5e74c9-7fb4-44ac-9035-1ddfaa12b63e
18:00:41.836 [XNIO-1 task-4]  m60z3CiLQl6JYcYLKG2y0A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:41.864 [XNIO-1 task-4]  m60z3CiLQl6JYcYLKG2y0A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:41.864 [XNIO-1 task-5]  mgwA3j7yTEu0Tt50AS2R5w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:41.865 [XNIO-1 task-5]  mgwA3j7yTEu0Tt50AS2R5w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:41.866 [XNIO-1 task-5]  mgwA3j7yTEu0Tt50AS2R5w DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", authorization)
18:00:41.864 [XNIO-1 task-4]  m60z3CiLQl6JYcYLKG2y0A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:41.868 [XNIO-1 task-4]  m60z3CiLQl6JYcYLKG2y0A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:41.869 [XNIO-1 task-3]  Ttv9VkAARxmtz8WA7PjpeA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:41.869 [XNIO-1 task-4]  m60z3CiLQl6JYcYLKG2y0A DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", authorization)
18:00:41.869 [XNIO-1 task-4]  m60z3CiLQl6JYcYLKG2y0A DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:41.870 [XNIO-1 task-3]  Ttv9VkAARxmtz8WA7PjpeA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:41.871 [XNIO-1 task-3]  Ttv9VkAARxmtz8WA7PjpeA DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = mnY52EvLT7-Bcnc5_CLX5A redirectUri = http://localhost:8080/authorization
18:00:41.874 [XNIO-1 task-5]  mgwA3j7yTEu0Tt50AS2R5w DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:41.875 [XNIO-1 task-4]  m60z3CiLQl6JYcYLKG2y0A DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:41.896 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:cff0afb1
18:00:41.917 [XNIO-1 task-4]  dbmXQ2bQQ7C3x5KRFncRUw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:41.917 [XNIO-1 task-4]  dbmXQ2bQQ7C3x5KRFncRUw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:41.917 [XNIO-1 task-3]  Ttv9VkAARxmtz8WA7PjpeA DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:41.919 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:cff0afb1
18:00:41.918 [XNIO-1 task-4]  dbmXQ2bQQ7C3x5KRFncRUw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:41.921 [XNIO-1 task-4]  dbmXQ2bQQ7C3x5KRFncRUw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", authorization)
18:00:41.931 [XNIO-1 task-4]  dbmXQ2bQQ7C3x5KRFncRUw DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:41.939 [XNIO-1 task-4]  HbomtcnrRL2m0KLnITaYvA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:41.939 [XNIO-1 task-4]  HbomtcnrRL2m0KLnITaYvA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:41.940 [XNIO-1 task-4]  HbomtcnrRL2m0KLnITaYvA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:41.941 [XNIO-1 task-4]  HbomtcnrRL2m0KLnITaYvA DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", authorization)
18:00:41.942 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.o.cache.ServiceEndpointMapStore delete - Delete:cff0afb1
18:00:41.946 [XNIO-1 task-4]  HbomtcnrRL2m0KLnITaYvA DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:41.954 [XNIO-1 task-4]  kO4NjDD5S9-mFS98-YEG8g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:41.956 [XNIO-1 task-4]  kO4NjDD5S9-mFS98-YEG8g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:41.957 [XNIO-1 task-4]  kO4NjDD5S9-mFS98-YEG8g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:41.958 [XNIO-1 task-4]  kO4NjDD5S9-mFS98-YEG8g DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", "Basic OTNmMzc3ZjktYjkxZC00MTAwLTg2ZjUtY2IxZDA0YWNjOTNkOjJIMk9SamxQU3l1TEdLOFA3UlpuV0E=", authorization)
18:00:41.965 [XNIO-1 task-4]  kO4NjDD5S9-mFS98-YEG8g DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:41.972 [XNIO-1 task-4]  ISfiZGPbRduuIeZhEo6Nbw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:41.972 [XNIO-1 task-4]  ISfiZGPbRduuIeZhEo6Nbw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:41.975 [XNIO-1 task-3]  OdMZErbNTFaAcyBfqrX1qA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:41.976 [XNIO-1 task-3]  OdMZErbNTFaAcyBfqrX1qA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:41.976 [XNIO-1 task-4]  ISfiZGPbRduuIeZhEo6Nbw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:41.976 [XNIO-1 task-3]  OdMZErbNTFaAcyBfqrX1qA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:41.977 [XNIO-1 task-3]  OdMZErbNTFaAcyBfqrX1qA DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", "Basic OTM5MThiMGEtNDA2Zi00NzMyLTkwNzEtMzEyM2ZjOGM4MjE4OlRIcDBPbHhHU0dpRXk3SVFxQW94VVE=", authorization)
18:00:41.977 [XNIO-1 task-3]  OdMZErbNTFaAcyBfqrX1qA DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = pwsjPl_PS_O-Bfg37quvpg redirectUri = http://localhost:8080/authorization
18:00:41.985 [XNIO-1 task-3]  OdMZErbNTFaAcyBfqrX1qA DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - variable from codeMap cache userId = admin redirectUri = http://localhost:8080/authorization scope = null userType = null roles = admin user remember = null
18:00:41.986 [XNIO-1 task-3]  OdMZErbNTFaAcyBfqrX1qA INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:41.987 [XNIO-1 task-4]  ISfiZGPbRduuIeZhEo6Nbw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
