19:00:41.635 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:0a7d5b86
19:00:41.662 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:51f3b622
19:00:41.663 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:51f3b622
19:00:41.834 [XNIO-1 task-2]  Pt1a78lrQkqcCt7uhcrasw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:41.834 [XNIO-1 task-2]  Pt1a78lrQkqcCt7uhcrasw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:41.834 [XNIO-1 task-2]  Pt1a78lrQkqcCt7uhcrasw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:41.835 [XNIO-1 task-2]  Pt1a78lrQkqcCt7uhcrasw DEBUG com.networknt.schema.TypeValidator debug - validate( "VQ3mhIFXN7mCIPW-2_uC7RcDJGIfE8-d_iR0CJCodg4", "VQ3mhIFXN7mCIPW-2_uC7RcDJGIfE8-d_iR0CJCodg4", code_challenge)
19:00:41.835 [XNIO-1 task-2]  Pt1a78lrQkqcCt7uhcrasw DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
19:00:41.836 [XNIO-1 task-2]  Pt1a78lrQkqcCt7uhcrasw DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:41.836 [XNIO-1 task-2]  Pt1a78lrQkqcCt7uhcrasw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:41.837 [XNIO-1 task-2]  Pt1a78lrQkqcCt7uhcrasw DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:41.837 [XNIO-1 task-2]  Pt1a78lrQkqcCt7uhcrasw DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:41.841 [XNIO-1 task-2]  Pt1a78lrQkqcCt7uhcrasw DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:41.850 [XNIO-1 task-1]  QARYX2v5S2utCioytf_91w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:41.850 [XNIO-1 task-1]  QARYX2v5S2utCioytf_91w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:41.850 [XNIO-1 task-1]  QARYX2v5S2utCioytf_91w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:41.851 [XNIO-1 task-1]  QARYX2v5S2utCioytf_91w DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:41.851 [XNIO-1 task-2]  Pt1a78lrQkqcCt7uhcrasw DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:41.852 [XNIO-1 task-1]  QARYX2v5S2utCioytf_91w DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:41.852 [XNIO-1 task-1]  QARYX2v5S2utCioytf_91w DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:41.851 [XNIO-1 task-2]  Pt1a78lrQkqcCt7uhcrasw DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:41.862 [XNIO-1 task-2]  Pt1a78lrQkqcCt7uhcrasw DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:41.862 [XNIO-1 task-2]  Pt1a78lrQkqcCt7uhcrasw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:41.871 [hz._hzInstance_1_dev.partition-operation.thread-5]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:f3ec3dbe
19:00:41.881 [XNIO-1 task-1]  QARYX2v5S2utCioytf_91w DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:41.881 [XNIO-1 task-1]  QARYX2v5S2utCioytf_91w DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:41.891 [XNIO-1 task-2]  Pt1a78lrQkqcCt7uhcrasw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=9vvRXr4SScaKJ06isS4IWw
