20:00:39.952 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG com.zaxxer.hikari.pool.HikariPool checkFailFast - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@fe063ff
20:00:40.059 [HikariPool-1 housekeeper]   DEBUG com.zaxxer.hikari.pool.HikariPool logPoolState - HikariPool-1 - Pool stats (total=1, active=0, idle=1, waiting=0)
20:00:40.062 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:0f79d30e-af8c-488f-8ef2-ad68db78b5d9
20:00:40.066 [XNIO-1 task-2]  qvIktcycRSGV05IsQGQasg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.066 [XNIO-1 task-2]  qvIktcycRSGV05IsQGQasg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.068 [XNIO-1 task-2]  qvIktcycRSGV05IsQGQasg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
20:00:40.069 [XNIO-1 task-2]  qvIktcycRSGV05IsQGQasg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"63bc52e6","serviceName":"9200dd11-ce3a-46cb-b284-4c4fe6d5","serviceDesc":"7bcd499c-5962-49a0-96ad-ab4ad0336680","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"63bc52e6","serviceName":"9200dd11-ce3a-46cb-b284-4c4fe6d5","serviceDesc":"7bcd499c-5962-49a0-96ad-ab4ad0336680","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
20:00:40.069 [XNIO-1 task-2]  qvIktcycRSGV05IsQGQasg DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"63bc52e6","serviceName":"9200dd11-ce3a-46cb-b284-4c4fe6d5","serviceDesc":"7bcd499c-5962-49a0-96ad-ab4ad0336680","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
20:00:40.069 [XNIO-1 task-2]  qvIktcycRSGV05IsQGQasg DEBUG com.networknt.schema.TypeValidator debug - validate( "7bcd499c-5962-49a0-96ad-ab4ad0336680", {"serviceType":"swagger","serviceId":"63bc52e6","serviceName":"9200dd11-ce3a-46cb-b284-4c4fe6d5","serviceDesc":"7bcd499c-5962-49a0-96ad-ab4ad0336680","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
20:00:40.069 [XNIO-1 task-2]  qvIktcycRSGV05IsQGQasg DEBUG com.networknt.schema.TypeValidator debug - validate( "63bc52e6", {"serviceType":"swagger","serviceId":"63bc52e6","serviceName":"9200dd11-ce3a-46cb-b284-4c4fe6d5","serviceDesc":"7bcd499c-5962-49a0-96ad-ab4ad0336680","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceId)
20:00:40.070 [XNIO-1 task-2]  qvIktcycRSGV05IsQGQasg DEBUG com.networknt.schema.TypeValidator debug - validate( "admin", {"serviceType":"swagger","serviceId":"63bc52e6","serviceName":"9200dd11-ce3a-46cb-b284-4c4fe6d5","serviceDesc":"7bcd499c-5962-49a0-96ad-ab4ad0336680","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.ownerId)
