16:40:09.861 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:7134a462
16:40:09.867 [hz._hzInstance_1_dev.partition-operation.thread-6]   DEBUG c.n.oauth.cache.ClientMapStore delete - Delete:72c79266-e00e-48fa-bda8-1d876036b8ab
16:40:09.878 [XNIO-1 task-1]  v70k49gJSm-CNr5oBdfVkg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:09.878 [XNIO-1 task-1]  v70k49gJSm-CNr5oBdfVkg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:09.878 [XNIO-1 task-1]  v70k49gJSm-CNr5oBdfVkg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:09.878 [XNIO-1 task-1]  v70k49gJSm-CNr5oBdfVkg DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
16:40:09.887 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ClientMapStore store - Store:b2063980-0377-440d-8644-c372f6d3b7da
16:40:09.899 [XNIO-1 task-1]  nMK_XgUdStOgSRaOhsmOnA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:09.899 [XNIO-1 task-1]  nMK_XgUdStOgSRaOhsmOnA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:09.899 [XNIO-1 task-1]  nMK_XgUdStOgSRaOhsmOnA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:09.900 [XNIO-1 task-1]  nMK_XgUdStOgSRaOhsmOnA DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
16:40:09.905 [XNIO-1 task-1]  L-aGQ3GIQDSG7j1TUpEBmQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:09.905 [XNIO-1 task-1]  L-aGQ3GIQDSG7j1TUpEBmQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:09.907 [XNIO-1 task-1]  L-aGQ3GIQDSG7j1TUpEBmQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
16:40:09.914 [XNIO-1 task-1]  AdV_8E11QBWaMUXPgK71qQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/b59c5e26, base path is set to: null
16:40:09.914 [XNIO-1 task-1]  AdV_8E11QBWaMUXPgK71qQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:09.914 [XNIO-1 task-1]  AdV_8E11QBWaMUXPgK71qQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
16:40:09.914 [XNIO-1 task-1]  AdV_8E11QBWaMUXPgK71qQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/b59c5e26, base path is set to: null
16:40:09.914 [XNIO-1 task-1]  AdV_8E11QBWaMUXPgK71qQ DEBUG com.networknt.schema.TypeValidator debug - validate( "b59c5e26", "b59c5e26", userId)
16:40:09.918 [XNIO-1 task-1]  b9zE3CkXSC-9GC8kM2eITw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/a9a04f38
16:40:09.918 [XNIO-1 task-1]  b9zE3CkXSC-9GC8kM2eITw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
16:40:09.918 [XNIO-1 task-1]  b9zE3CkXSC-9GC8kM2eITw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
16:40:09.918 [XNIO-1 task-1]  b9zE3CkXSC-9GC8kM2eITw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/a9a04f38
16:40:09.921 [XNIO-1 task-1]  SOZ3UFXLRWiQHr5MfZBr4Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/a9a04f38, base path is set to: null
16:40:09.921 [XNIO-1 task-1]  SOZ3UFXLRWiQHr5MfZBr4Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
16:40:09.921 [XNIO-1 task-1]  SOZ3UFXLRWiQHr5MfZBr4Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
16:40:09.922 [XNIO-1 task-1]  SOZ3UFXLRWiQHr5MfZBr4Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/a9a04f38, base path is set to: null
16:40:09.922 [XNIO-1 task-1]  SOZ3UFXLRWiQHr5MfZBr4Q DEBUG com.networknt.schema.TypeValidator debug - validate( "a9a04f38", "a9a04f38", userId)
