16:40:50.940 [XNIO-1 task-2]  w36eAxhJTze5C9rp4bvKvA DEBUG com.networknt.schema.TypeValidator debug - validate( "e65c6856", "e65c6856", serviceId)
16:40:50.941 [hz._hzInstance_1_dev.partition-operation.thread-4]   DEBUG c.n.oauth.cache.ServiceMapStore delete - Delete:e65c6856
16:40:50.945 [XNIO-1 task-2]  c9H4FLkdSFmdTspc2873kw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:50.945 [XNIO-1 task-2]  c9H4FLkdSFmdTspc2873kw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:50.945 [XNIO-1 task-2]  c9H4FLkdSFmdTspc2873kw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:50.954 [XNIO-1 task-2]  LH7AzSYcRUOff6b0CUs0yw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:50.954 [XNIO-1 task-2]  LH7AzSYcRUOff6b0CUs0yw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:50.954 [XNIO-1 task-2]  LH7AzSYcRUOff6b0CUs0yw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/service
16:40:50.954 [XNIO-1 task-2]  LH7AzSYcRUOff6b0CUs0yw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"serviceType":"swagger","serviceId":"58e9a88c","serviceName":"c45feca2-1601-4105-bb60-d4368912","serviceDesc":"4eff4132-9cfa-493c-9b7a-dc1ff20f3154","scope":"read write","ownerId":"admin","host":"lightapi.net"}, {"serviceType":"swagger","serviceId":"58e9a88c","serviceName":"c45feca2-1601-4105-bb60-d4368912","serviceDesc":"4eff4132-9cfa-493c-9b7a-dc1ff20f3154","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody)
16:40:50.955 [XNIO-1 task-2]  LH7AzSYcRUOff6b0CUs0yw DEBUG com.networknt.schema.TypeValidator debug - validate( "swagger", {"serviceType":"swagger","serviceId":"58e9a88c","serviceName":"c45feca2-1601-4105-bb60-d4368912","serviceDesc":"4eff4132-9cfa-493c-9b7a-dc1ff20f3154","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceType)
16:40:50.955 [XNIO-1 task-2]  LH7AzSYcRUOff6b0CUs0yw DEBUG com.networknt.schema.TypeValidator debug - validate( "4eff4132-9cfa-493c-9b7a-dc1ff20f3154", {"serviceType":"swagger","serviceId":"58e9a88c","serviceName":"c45feca2-1601-4105-bb60-d4368912","serviceDesc":"4eff4132-9cfa-493c-9b7a-dc1ff20f3154","scope":"read write","ownerId":"admin","host":"lightapi.net"}, requestBody.serviceDesc)
